"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC101076008",1167.28568648705,-9.84669494203945,1.58098852366915,-6.22818875319048,4.71858378468086e-10,1.03845140061323e-07
"LOC101073303",292.393841573831,-8.76616208406356,0.879566881447677,-9.96645311341799,2.13725305787607e-23,5.24115514164295e-20
"LOC115249951",1184.1753526153,-7.82813461189127,1.51760907789054,-5.15820228406403,2.49332168404455e-07,1.98149814945874e-05
"LOC115246949",112.363527952637,-7.79307186269831,2.84242671891886,-2.74169666743861,0.00611227578679596,0.0472115602329283
"LOC101078162",43.106931366686,-7.76257728180607,2.7298067841483,-2.84363616021564,0.00446019475995532,0.0380157414346539
"klhl31",84.8591999540616,-7.7133227824855,1.98651162161375,-3.88284805312116,0.000103240086197771,0.00237244888844838
"capn9",146.361260677846,-7.67263475557624,1.62713339856566,-4.71543068462595,2.41199998137221e-06,0.000117961229858221
"LOC115248888",18.2369190155356,-7.66972871953196,1.52829040826959,-5.01850216295998,5.20759072507177e-07,3.51942922781819e-05
"rhcg2",327.938859664774,-7.60704901318147,0.719532945266982,-10.5722039042408,4.00959430190924e-26,1.37657391573148e-22
"LOC101078510",285.020635855609,-7.57583566252138,1.94627537245569,-3.89247881863842,9.92251651167447e-05,0.00230175565458654
