"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC101076008",1167.28568648705,-9.84669494203945,1.58098852366915,-6.22818875319048,4.71858378468086e-10,1.03845140061323e-07
"LOC101073303",292.393841573831,-8.76616208406356,0.879566881447677,-9.96645311341799,2.13725305787607e-23,5.24115514164295e-20
"LOC115249951",1184.1753526153,-7.82813461189127,1.51760907789054,-5.15820228406403,2.49332168404455e-07,1.98149814945874e-05
"LOC115246949",112.363527952637,-7.79307186269831,2.84242671891886,-2.74169666743861,0.00611227578679596,0.0472115602329283
"LOC101078162",43.106931366686,-7.76257728180607,2.7298067841483,-2.84363616021564,0.00446019475995532,0.0380157414346539
"klhl31",84.8591999540616,-7.7133227824855,1.98651162161375,-3.88284805312116,0.000103240086197771,0.00237244888844838
"capn9",146.361260677846,-7.67263475557624,1.62713339856566,-4.71543068462595,2.41199998137221e-06,0.000117961229858221
"LOC115248888",18.2369190155356,-7.66972871953196,1.52829040826959,-5.01850216295998,5.20759072507177e-07,3.51942922781819e-05
"rhcg2",327.938859664774,-7.60704901318147,0.719532945266982,-10.5722039042408,4.00959430190924e-26,1.37657391573148e-22
"LOC101078510",285.020635855609,-7.57583566252138,1.94627537245569,-3.89247881863842,9.92251651167447e-05,0.00230175565458654
"LOC101072856",664.187751803584,-7.39711130249277,1.5268917670865,-4.84455510334394,1.26895697907343e-06,7.03954892600067e-05
"agr2",349.826212334677,-7.18927358350526,1.45855131080506,-4.92905085357408,8.26300662430616e-07,5.04778547020782e-05
"rhbg",319.061412915207,-6.9352183646609,2.1633764714814,-3.2057380932464,0.00134716544565839,0.016137782302981
"LOC105417995",22.0179045250104,-6.5723450729856,1.47074075701517,-4.46873117620267,7.86849433469408e-06,0.000304899715009839
"LOC101071674",8.23591315461391,-6.55698481556909,1.849156844176,-3.54593221025064,0.000391226835810716,0.00642660274021699
"LOC101076780",18.8405932307137,-6.48135504559821,1.52114453360013,-4.2608410328101,2.03659058050765e-05,0.000660871718430894
"ccl28",389.385242849112,-6.32820403553135,1.89126768610686,-3.34601182160409,0.000819829003746181,0.0112304773649007
"LOC101073806",16.6531508416312,-6.28152722169682,1.41360962718715,-4.44360812270076,8.84626679436622e-06,0.000333747287455144
"LOC101074118",1108.42712695729,-6.25662880243735,1.64281702659124,-3.80847574694275,0.000139826057656577,0.00298168211892273
"LOC115249792",71.8342220729897,-6.05473618537541,0.815361418185078,-7.42583111039607,1.12073928759387e-13,5.34405850301009e-11
"gprc6a",17.2969543683044,-6.01049817778155,1.61194855158464,-3.72871588976763,0.000192457986830749,0.00377866522064009
"LOC101062328",92.9830219780814,-5.99800383660007,0.842519047796088,-7.11913143363346,1.08609303938568e-12,3.96678151363715e-10
"LOC101079018",63.7238533132083,-5.95518055691994,1.07391013848302,-5.54532483074614,2.93408947414514e-08,3.22862691751125e-06
"LOC101063701",8.156722323698,-5.94323273891222,1.88732107371785,-3.14903109050999,0.00163812766332246,0.0187217706182379
"LOC101061956",13.221728443065,-5.91957811308291,1.66893259765168,-3.54692461601638,0.000389756098364049,0.00641472021526105
"LOC101075429",55.0270327962626,-5.88975539021505,1.22595978964939,-4.80419948512295,1.55371865413656e-06,8.25731715693751e-05
"LOC101069642",1280.48614286021,-5.85753905965532,1.65653842390472,-3.5360115860447,0.000406216877511554,0.00661586235233713
"matn1",342.720349870981,-5.7932768702691,2.00204275433913,-2.89368289349117,0.00380752475042535,0.0342737125672792
"LOC101073531",85.0348165425486,-5.72673064927558,1.96307553260757,-2.91722379203042,0.00353162282609505,0.0325759470353292
"LOC101070926",38.4065978440264,-5.64648824352346,1.34559896253853,-4.19626382058968,2.713541460545e-05,0.000827365057046457
"LOC115252193",34.2673342004673,-5.59075057689328,1.41422715905144,-3.95321963739061,7.71065985607283e-05,0.00190447751207692
"LOC115251527",7.6668957515493,-5.57804202947984,1.95025690604592,-2.86015755780049,0.00423430579585087,0.0367104826181886
"LOC105418868",147.974701665238,-5.52460367872912,1.57158735197189,-3.51530169277409,0.000439254676630625,0.0070076633634213
"LOC101078729",18.5483436256482,-5.43189572059542,1.38719552957562,-3.9157390611381,9.01276871817027e-05,0.00213987811640541
"LOC101075501",29.6316816793849,-5.42917662339057,1.46502032639427,-3.70587119207617,0.000210665349305766,0.004058677201103
"LOC101077390",9.29146472759756,-5.41684769322239,1.88482566825043,-2.87392504488254,0.00405405163897043,0.0356703672850925
"LOC115250551",14.2441653358226,-5.36681911313921,1.6142459979289,-3.32466000846519,0.000885264185721861,0.0118629547323196
"gldn",7.55346784902188,-5.35944127599124,1.77434619449282,-3.02051611609153,0.00252344278531878,0.0254359476528375
"LOC101078316",7.90407958508337,-5.34944516203617,1.77432114518629,-3.01492499063608,0.00257042816190998,0.0257884101854744
"LOC101065976",45.1685308282508,-5.34000251584434,1.16801365292191,-4.57186652098265,4.8339884415322e-06,0.000204889495277387
"LOC101070518",73.3731424356328,-5.30664475069637,1.16702635730454,-4.54715072841458,5.43770559249404e-06,0.000226562267477555
"LOC101074324",113.921369615659,-5.30377180176757,1.78778211585621,-2.96667684206444,0.00301037184381822,0.0291955045598777
"LOC115251596",24.6942758136985,-5.30213691943755,1.24035268423869,-4.27470104818771,1.91393930551023e-05,0.000630608102080395
"LOC105416492",91.9473495745554,-5.28745614227765,1.02556736366811,-5.15564001897079,2.52766079917863e-07,1.99035895773855e-05
"pax9",15.798647498535,-5.28624026003204,1.42775414408174,-3.70248637130162,0.000213496832676607,0.00408571530627273
"LOC115251764",31.6414827490443,-5.26298735810625,1.38141481917994,-3.80985297467025,0.000139049456975173,0.00296880967467142
"LOC101072119",13.5603223322226,-5.25444463996174,1.73025760122098,-3.03679905018413,0.00239104798063038,0.0244459378412752
"LOC101071535",17.027873253964,-5.20608181965102,1.41951052110763,-3.66751900900937,0.000244915348011729,0.00453040610341524
"LOC105418946",28.0197682686839,-5.18874646670672,1.11688885711468,-4.64571423884656,3.38901857703458e-06,0.000153094454982567
"gdpd2",34.5467454975015,-5.16525299059191,1.00022545758104,-5.16408870764362,2.41613102071172e-07,1.92908395821104e-05
"LOC101079761",8.1188804256221,-5.13402920469553,1.75336233872336,-2.9281050991626,0.00341034745209599,0.0318507450293015
"LOC105419963",10.780174949713,-5.12923731232594,1.82929781040693,-2.80393781873326,0.00504826400676824,0.0413249880496823
"col22a1",33.9433114628391,-5.1260473238765,1.41798374638567,-3.61502544506762,0.000300318123533194,0.00530376636684239
"LOC115252941",15.5573240602207,-5.11262903977259,1.61420053493295,-3.16728245910596,0.00153870784847356,0.0178469317073629
"LOC101067248",22.2392398428519,-5.10649167989766,1.20435494596281,-4.24002217702963,2.23497704725013e-05,0.000707852693599553
"LOC105416725",131.510885451523,-5.10648010553583,1.8579796763765,-2.74840471640394,0.0059886038149216,0.0465160059216942
"LOC105417476",26.2788955395637,-5.10513374890791,1.43162167799081,-3.56597963511745,0.000362499522185951,0.00604729523600003
"LOC101077576",7.87316439110153,-5.08206196192092,1.68977649484154,-3.00753500681018,0.0026337578849659,0.0262093262917823
"LOC101068826",19.454185113909,-5.06516485476068,1.12413242978935,-4.50584354701858,6.61097850747561e-06,0.000265770625431678
"LOC101062398",41.3678624967573,-5.02205037311057,1.22632511110066,-4.09520308085606,4.21798490689841e-05,0.00115664423181818
"LOC101074919",186.797712531901,-5.02191297422241,0.964656552110262,-5.20590770179975,1.93050588711449e-07,1.58868182800549e-05
"LOC105416303",36.6017913148418,-5.01614456085474,0.91537053427973,-5.4799060850279,4.2555165894768e-08,4.48160722545759e-06
"LOC101071930",19.8780266031056,-5.00225859250865,1.41866941559712,-3.52602131089377,0.000421853021734022,0.00679955771932979
"hhatl",21.7803601723824,-5.00105023935743,1.73042866833458,-2.89006437010236,0.00385162949798957,0.0344159608921461
"LOC101062689",27.3864655360165,-4.97168057690001,1.50495134727832,-3.30354903890495,0.00095469270298668,0.0125300528399467
"foxl2",11.4136548374613,-4.94861868507627,1.82158057683859,-2.71666197367165,0.00659439192739415,0.0493458290434385
"LOC115251561",47.1671831076145,-4.91809973060814,1.19453820096001,-4.117155672925,3.83576991765182e-05,0.00108475826040216
"LOC101075531",15.8364401476268,-4.85828137127265,1.56292712592388,-3.10845034978891,0.00188071243268,0.0206157788118678
"LOC101073603",55.1709106861776,-4.85826272172682,1.27891279227313,-3.79874433274828,0.000145431016018823,0.00305939806492539
"LOC105416780",54.4074580327419,-4.75125065352884,1.18018786876758,-4.02584264697652,5.67716448652931e-05,0.00147657887236003
"LOC101070028",29.8499346158063,-4.72753547232389,1.16925701621074,-4.04319615514867,5.27274725978874e-05,0.00138397522112437
"LOC101066239",9.94743006606238,-4.70700877761,1.72041801060557,-2.7359680894954,0.00621970570803986,0.0476427791986668
"LOC101065814",53.6145190487326,-4.67208677149957,0.818200585673939,-5.71019729550945,1.12845278741309e-08,1.47870385868192e-06
"LOC101075008",115.166058246818,-4.665020219736,0.79291476752853,-5.88338168335117,4.01967478727974e-09,6.10634844234018e-07
"LOC115247351",13.46964630832,-4.63924257054556,1.41760745141695,-3.27258619155003,0.00106568374453601,0.0135107290684677
"rtn2",39.7040076069107,-4.61818856212042,1.26772360949049,-3.64289859993735,0.000269585056636909,0.00488669174469819
"LOC105418725",38.6176587719272,-4.61657362527495,1.22867586894989,-3.75735679518195,0.000171717576745821,0.00348436828686178
"LOC115247568",42.5136607643167,-4.61215396804934,1.31931554540027,-3.49586873597404,0.000472521085064175,0.00739407196555299
"LOC101063085",114.669824327018,-4.59808932426344,0.594503074076833,-7.73434070362636,1.03940334275682e-14,6.1525509592288e-12
"cldn28a",122.021603738082,-4.58452685715686,1.04842118748655,-4.3727911185653,1.22668079574351e-05,0.000441450786996501
"LOC115251825",53.1804660988961,-4.5654013220492,0.746685774272668,-6.11422030437939,9.70301859041177e-10,1.93055155803406e-07
"LOC101066602",11.7292948684283,-4.51808942224241,1.44297452792786,-3.13109437124331,0.00174156186545372,0.0195141324950251
"LOC101076248",16.6939150879037,-4.50796492937329,1.59502415898178,-2.82626749193005,0.00470939191159339,0.0393772145905563
"LOC101073095",13.1585120492894,-4.49195751056858,1.55820268801902,-2.88278126145406,0.00394181057152699,0.0349509918754299
"LOC101062818",258.608479947086,-4.49174104482926,1.55176776690382,-2.89459617645716,0.00379646588018956,0.034228011186625
"ttc22",10.5446746761091,-4.47859027719332,1.61988170646609,-2.76476378448877,0.00569640293601532,0.0450412035005247
"LOC115251079",10.7656782582674,-4.46161366480307,1.34736561055346,-3.31136079907098,0.000928434183468825,0.0122879731637825
"LOC101067273",18.481485849537,-4.45889067909783,1.38748227660637,-3.21365595386471,0.00131056604814117,0.0158319329925343
"LOC101072271",11.0848421464297,-4.45289794588151,1.4803259844359,-3.00805227544415,0.00262927906422487,0.0262037304681359
"LOC101068230",27.2427888792552,-4.41491359451467,1.15220510297134,-3.8317080727462,0.000127256684416286,0.0027734089096736
