"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC101078238",9.35554945523803,6.23092962859449,1.79748929701266,3.46646271493799,0.00052735487014016,0.00799472261514922
"LOC101076343",22.9336538515031,4.62946005897099,1.11507088322759,4.15171818097426,3.29988462567311e-05,0.00096500544266277
"LOC115247664",882.324503049153,4.56113648950768,0.469042690068188,9.72435257192602,2.37410837749406e-22,4.52821604534033e-19
"LOC101063513",23.0762439241266,4.48541927026879,0.975264251342885,4.59918351779286,4.24150019020095e-06,0.000183399476738009
"LOC101072320",11.6813423517466,4.33390264846131,1.322783320169,3.27635114714602,0.00105157727954304,0.0133713893189895
"LOC101067963",1341.16047940927,4.25046953775586,0.276922144085606,15.3489694794574,3.59857408197811e-53,3.59055690153872e-49
"thbs1",1087.3326050612,4.06733795161865,0.341548140427529,11.9085349038276,1.06837963902232e-32,6.11326829448571e-29
"LOC101074542",4390.3490491787,4.03465896810962,0.263029335605588,15.3391976557306,4.18333554880428e-53,3.59055690153872e-49
"LOC101063073",152.156112867773,3.9994413470472,0.533300575371532,7.49941314850622,6.41041800687772e-14,3.22969969126521e-11
"LOC115250540",47.9801845363394,3.9839928486277,0.899297279056324,4.43011776129057,9.41816440340223e-06,0.000349939848806932
